Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Kit Carson County,CO,46.394,41.908,50.88
Lake County,CO,46.765,41.931,51.599
La Plata County,CO,60.658,56.688,64.628
Larimer County,CO,57.659,54.716,60.602
Las Animas County,CO,39.625,35.973,43.277
Lincoln County,CO,41.248,36.924,45.572
Logan County,CO,45.439,40.807,50.071
Mesa County,CO,50.106,46.721,53.491
Mineral County,CO,51.257,46.416,56.098
Moffat County,CO,56.193,50.405,61.981
Montezuma County,CO,44.163,40.628,47.698
Montrose County,CO,46.336,44.087,48.585
Morgan County,CO,47.631,44.021,51.241
Otero County,CO,33.043,29.808,36.278
Ouray County,CO,57.242,51.342,63.142
Park County,CO,58.487,53.392,63.582
Phillips County,CO,47.006,42.298,51.714
Pitkin County,CO,73.274,65.451,81.097
Prowers County,CO,39.184,35.144,43.224
Pueblo County,CO,41.382,39.048,43.716
Rio Blanco County,CO,63.184,57.412,68.956
Rio Grande County,CO,40.593,36.534,44.652
Routt County,CO,66.846,61.6,72.092
Saguache County,CO,31.227,27.923,34.531
San Juan County,CO,40.006,35.925,44.087
San Miguel County,CO,59.603,53.685,65.521
Sedgwick County,CO,44.562,40.905,48.219
Summit County,CO,68.352,61.607,75.097
Teller County,CO,62.38,56.036,68.724
Washington County,CO,45.784,41.207,50.361
Weld County,CO,61.501,58.843,64.159
Yuma County,CO,46.838,42.137,51.539
Connecticut,CO,70.007,69.219,70.795
Fairfield County,CT,85.336,82.686,87.986
Hartford County,CT,65.809,64.332,67.286
Litchfield County,CT,73.413,70.929,75.897
Middlesex County,CT,76.365,71.817,80.913
New Haven County,CT,60.387,58.809,61.965
New London County,CT,65.813,63.594,68.032
Tolland County,CT,78.653,75.528,81.778
Windham County,CT,57.547,53.473,61.621
Delaware,CT,59.853,58.463,61.243
Kent County,DE,54.271,51.622,56.92
New Castle County,DE,64.632,62.141,67.123
Sussex County,DE,53.316,50.585,56.047
District of Columbia,DE,69.992,68.375,71.609
District of Columbia,DC,69.992,68.375,71.609
Florida,DC,47.439,47.113,47.765
Alachua County,FL,44.325,41.434,47.216
Baker County,FL,47.121,42.324,51.918
Bay County,FL,44.8,41.867,47.733
Bradford County,FL,39.98,35.954,44.006
Brevard County,FL,47.973,46.271,49.675
Broward County,FL,51.485,50.524,52.446
Calhoun County,FL,35.256,31.845,38.667
Charlotte County,FL,43.242,41.05,45.434
Citrus County,FL,36.383,34.209,38.557
Clay County,FL,58.539,55.033,62.045
Collier County,FL,58.403,55.663,61.143
Columbia County,FL,38.484,35.742,41.226
DeSoto County,FL,36.945,34.255,39.635
Dixie County,FL,32.121,28.954,35.288
Duval County,FL,46.013,44.573,47.453
Escambia County,FL,46.139,44.399,47.879
Flagler County,FL,51.556,49.968,53.144
Franklin County,FL,36.788,33.631,39.945
Gadsden County,FL,35.849,32.724,38.974
Gilchrist County,FL,40.788,36.872,44.704
Glades County,FL,38.783,34.775,42.791
Gulf County,FL,38.419,34.421,42.417
Hamilton County,FL,31.734,28.612,34.856
Hardee County,FL,35.371,31.915,38.827
Hendry County,FL,38.494,34.912,42.076
Hernando County,FL,40.094,37.853,42.335
Highlands County,FL,35.787,33.669,37.905
Hillsborough County,FL,50.758,49.897,51.619
Holmes County,FL,35.651,32.753,38.549
Indian River County,FL,47.548,44.032,51.064
Jackson County,FL,36.876,33.612,40.14
Jefferson County,FL,40.205,36.328,44.082
Lafayette County,FL,38.071,33.973,42.169
Lake County,FL,46.895,44.754,49.036
Lee County,FL,49.147,47.631,50.663
Leon County,FL,45.463,42.986,47.94
Levy County,FL,37.433,34.786,40.08
Liberty County,FL,38.473,35.507,41.439
Madison County,FL,33.017,29.47,36.564
Manatee County,FL,51.673,50.128,53.218
Marion County,FL,39.86,38.202,41.518
Martin County,FL,55.472,52.649,58.295
Miami-Dade County,FL,42.754,41.72,43.788
Monroe County,FL,57.411,54.575,60.247
Nassau County,FL,56.728,51.759,61.697
Okaloosa County,FL,55.952,52.522,59.382
Okeechobee County,FL,37.065,33.871,40.259
Orange County,FL,47.069,45.721,48.417
Osceola County,FL,42.945,40.456,45.434
Palm Beach County,FL,52.225,51.032,53.418
Pasco County,FL,45.219,43.938,46.5
Pinellas County,FL,45.162,44.085,46.239
Polk County,FL,42.768,40.997,44.539
Putnam County,FL,32.054,29.478,34.63
St. Johns County,FL,66.56,64.057,69.063
St. Lucie County,FL,42.722,40.183,45.261
Santa Rosa County,FL,58.587,54.769,62.405
Sarasota County,FL,52.109,50.672,53.546
Seminole County,FL,56.443,54.253,58.633
Sumter County,FL,51.907,48.276,55.538
Suwannee County,FL,38.177,35.104,41.25
Taylor County,FL,36.374,32.72,40.028
Union County,FL,40.207,36.129,44.285
Volusia County,FL,40.881,39.563,42.199
Wakulla County,FL,51.642,47.269,56.015
Walton County,FL,46.867,43.244,50.49
Washington County,FL,36.482,33.099,39.865
Georgia,FL,49.24,48.708,49.772
Appling County,GA,36.642,33.032,40.252
Atkinson County,GA,31.74,28.372,35.108
Bacon County,GA,34.201,30.961,37.441
Baker County,GA,43.115,40.372,45.858
Baldwin County,GA,37.008,33.136,40.88
Banks County,GA,46.018,41.879,50.157
Barrow County,GA,49.698,46.42,52.976
Bartow County,GA,51.44,47.844,55.036
Ben Hill County,GA,31.081,28.413,33.749
Berrien County,GA,35.078,31.444,38.712
Bibb County,GA,36.014,33.984,38.044
Bleckley County,GA,40.454,36.118,44.79
Brantley County,GA,36.865,33.147,40.583
Brooks County,GA,32.903,29.702,36.104
Bryan County,GA,66.556,60.143,72.969
Bulloch County,GA,36.315,32.83,39.8
Burke County,GA,35.055,32.078,38.032
Butts County,GA,41.505,37.136,45.874
Calhoun County,GA,30.76,27.556,33.964
Camden County,GA,51.793,48.77,54.816
Candler County,GA,31.829,28.644,35.014
Carroll County,GA,43.442,39.801,47.083
Catoosa County,GA,50.728,46.959,54.497
Charlton County,GA,34.312,30.705,37.919
Chatham County,GA,50.154,48.552,51.756
Chattahoochee County,GA,45.933,41.071,50.795
Chattooga County,GA,34.83,31.41,38.25
Cherokee County,GA,71.168,66.835,75.501
Clarke County,GA,31.487,29.389,33.585
Clay County,GA,27.512,24.561,30.463
