Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Siskiyou County,Siskiyou1,CA,38.641,35.758,41.524
Solano County,Solano1,CA,67.106,63.857,70.355
Sonoma County,Sonoma1,CA,66.949,64.082,69.816
Stanislaus County,Stanislaus1,CA,50.917,49.68,52.154
Sutter County,Sutter1,CA,51.827,48.68,54.974
Tehama County,Tehama1,CA,40.782,37.503,44.061
Trinity County,Trinity1,CA,34.961,31.947,37.975
Tulare County,Tulare1,CA,42.36,40.429,44.291
Tuolumne County,Tuolumne1,CA,49.476,45.216,53.736
Ventura County,Ventura1,CA,74.967,73.152,76.782
Yolo County,Yolo1,CA,54.509,51.187,57.831
Yuba County,Yuba1,CA,41.403,37.739,45.067
Colorado,Colorado1,CA,61.324,60.846,61.802
Adams County,Adams1,CO,59.316,57.334,61.298
Alamosa County,Alamosa1,CO,38.14,34.339,41.941
Arapahoe County,Arapahoe1,CO,65.359,63.481,67.237
Archuleta County,Archuleta1,CO,44.508,40.13,48.886
Baca County,Baca1,CO,36.294,32.501,40.087
Bent County,Bent1,CO,35.424,31.75,39.098
Boulder County,Boulder1,CO,71.546,68.272,74.82
Broomfield County,Broomfield1,CO,85.885,80.594,91.176
Chaffee County,Chaffee1,CO,48.84,44.902,52.778
Cheyenne County,Cheyenne1,CO,52.273,47.365,57.181
Clear Creek County,Clear Creek1,CO,69.115,62.41,75.82
Conejos County,Conejos1,CO,33.998,30.741,37.255
Costilla County,Costilla1,CO,27.882,25.048,30.716
Crowley County,Crowley1,CO,32.57,29.352,35.788
Custer County,Custer1,CO,48.368,43.265,53.471
Delta County,Delta1,CO,45.283,41.383,49.183
Denver County,Denver1,CO,54.872,53.049,56.695
Dolores County,Dolores1,CO,44.235,39.514,48.956
Douglas County,Douglas1,CO,107.251,101.353,113.147
Eagle County,Eagle1,CO,76.661,71.045,82.277
Elbert County,Elbert1,CO,83.603,77.865,89.341
El Paso County,El Paso1,CO,59.286,57.168,61.404
Fremont County,Fremont1,CO,41.385,38.362,44.408
Garfield County,Garfield1,CO,62.529,57.791,67.267
Gilpin County,Gilpin1,CO,64.752,58.051,71.453
Grand County,Grand1,CO,59.379,53.682,65.076
Gunnison County,Gunnison1,CO,48.94,43.916,53.964
Hinsdale County,Hinsdale1,CO,51.241,45.763,56.719
Huerfano County,Huerfano1,CO,32.75,29.329,36.171
Jackson County,Jackson3,CO,45.073,40.305,49.841
Jefferson County,Jefferson3,CO,70.687,69.368,72.006
Kiowa County,Kiowa1,CO,42.31,38.968,45.652
Kit Carson County,Kit Carson1,CO,46.394,41.908,50.88
Lake County,Lake2,CO,46.765,41.931,51.599
La Plata County,La Plata1,CO,60.658,56.688,64.628
Larimer County,Larimer1,CO,57.659,54.716,60.602
Las Animas County,Las Animas1,CO,39.625,35.973,43.277
Lincoln County,Lincoln2,CO,41.248,36.924,45.572
Logan County,Logan2,CO,45.439,40.807,50.071
Mesa County,Mesa1,CO,50.106,46.721,53.491
Mineral County,Mineral1,CO,51.257,46.416,56.098
Moffat County,Moffat1,CO,56.193,50.405,61.981
Montezuma County,Montezuma1,CO,44.163,40.628,47.698
Montrose County,Montrose1,CO,46.336,44.087,48.585
Morgan County,Morgan2,CO,47.631,44.021,51.241
Otero County,Otero1,CO,33.043,29.808,36.278
Ouray County,Ouray1,CO,57.242,51.342,63.142
Park County,Park1,CO,58.487,53.392,63.582
Phillips County,Phillips2,CO,47.006,42.298,51.714
Pitkin County,Pitkin1,CO,73.274,65.451,81.097
Prowers County,Prowers1,CO,39.184,35.144,43.224
Pueblo County,Pueblo1,CO,41.382,39.048,43.716
Rio Blanco County,Rio Blanco1,CO,63.184,57.412,68.956
Rio Grande County,Rio Grande1,CO,40.593,36.534,44.652
Routt County,Routt1,CO,66.846,61.6,72.092
Saguache County,Saguache1,CO,31.227,27.923,34.531
San Juan County,San Juan1,CO,40.006,35.925,44.087
San Miguel County,San Miguel1,CO,59.603,53.685,65.521
Sedgwick County,Sedgwick1,CO,44.562,40.905,48.219
Summit County,Summit1,CO,68.352,61.607,75.097
Teller County,Teller1,CO,62.38,56.036,68.724
Washington County,Washington3,CO,45.784,41.207,50.361
Weld County,Weld1,CO,61.501,58.843,64.159
Yuma County,Yuma2,CO,46.838,42.137,51.539
Connecticut,Connecticut1,CO,70.007,69.219,70.795
Fairfield County,Fairfield1,CT,85.336,82.686,87.986
Hartford County,Hartford1,CT,65.809,64.332,67.286
